times,theta
26.8,282.7432127
26.8,280.8982886
26.9,281.6030267
26.9,282.1301479
27.0,280.3711674
27.0,281.9525309
27.1,281.5113534
27.1,280.8123449
27.2,282.657269
27.2,281.0759055
27.3,281.9525309
27.3,281.9525309
27.4,280.8982886
27.4,282.657269
27.4,281.6030267
27.5,281.0759055
27.5,281.9525309
27.6,281.9525309
27.6,281.1618492
27.7,283.6255677
27.7,282.5655958
27.8,280.5487843
27.8,281.2477929
27.9,283.0067733
27.9,281.4254098
28.0,281.9525309
28.0,282.0384746
28.1,281.0759055
28.1,282.3020352
28.2,280.5487843
28.2,281.9525309
28.3,282.3937084
28.3,281.3394661
28.4,282.3020352
28.4,280.3711674
28.4,280.9842323
28.5,282.3937084
28.5,281.6030267
28.6,279.1393082
28.6,282.3937084
28.7,282.0384746
28.7,281.0759055
28.8,282.1301479
28.8,283.6255677
28.9,281.0759055
28.9,281.8665873
29.0,281.6030267
29.0,281.5113534
29.1,282.2160915
29.1,281.6889704
29.1,282.834886
29.2,281.3394661
29.2,280.2852238
29.3,282.3937084
29.3,281.5113534
29.4,282.4796521
29.4,281.6889704
29.5,281.8665873
29.5,281.3394661
29.6,282.0384746
29.6,283.4479508
29.7,281.3394661
29.7,282.1301479
29.8,281.4254098
29.8,280.1076068
29.9,282.0384746
29.9,280.8982886
29.9,281.6030267
30.0,282.657269
30.0,281.1618492
30.1,281.9525309
30.1,280.7206717
30.2,281.2477929
30.2,283.0984465
30.3,281.6889704
30.3,280.9842323
30.4,282.4796521
30.4,280.7206717
30.5,279.5804857
30.5,279.3169251
30.6,275.5354036
30.6,271.1408174
30.6,266.1331662
30.7,261.560963
30.7,256.1121344
30.8,251.895165
30.8,248.6407647
30.9,245.5639814
30.9,243.0200488
31.0,242.5788713
31.0,244.509739
31.1,246.9734576
31.1,252.9494074
31.2,258.5758529
31.2,263.2339998
31.3,267.8004734
31.3,271.5819949
31.4,274.8363951
31.4,279.1393082
31.4,282.4796521
31.5,282.834886
31.5,280.634728
31.6,281.5113534
31.6,282.834886
31.7,281.3394661
31.7,281.4254098
31.8,282.5655958
31.8,280.5487843
31.9,281.4254098
31.9,282.3937084
32.0,280.7206717
32.0,280.1076068
32.1,281.6889704
32.1,280.2852238
32.2,282.0384746
32.2,283.0067733
32.2,283.3620071
32.3,286.2611736
32.3,289.6015175
32.4,294.7867856
32.4,299.1813718
32.5,303.3983412
32.5,306.2975077
32.6,309.1107304
32.6,310.8697109
32.7,311.7463363
32.7,311.3108884
32.8,309.9930854
32.8,307.2658063
32.8,303.9254624
32.9,300.4991748
32.9,297.0728872
33.0,294.3456081
33.0,290.300526
33.1,288.5472752
33.1,286.3471172
33.2,284.0610156
33.2,281.6889704
33.3,281.3394661
33.3,282.834886
33.4,279.2309814
33.4,280.634728
33.5,280.1076068
33.5,278.7898039
33.6,277.0308235
33.6,276.1541981
33.7,274.0457134
33.7,273.3409753
33.7,270.6136962
33.8,269.0323327
33.8,265.6060451
33.9,262.7068786
33.9,259.6300953
34.0,254.7083878
34.0,250.5773621
34.1,249.3455028
34.1,250.1361846
34.2,253.1270243
34.2,261.7385799
34.3,268.3275946
34.3,274.131657
34.4,280.634728
34.4,285.6423791
34.5,286.9601821
34.5,285.8199961
34.6,284.0610156
34.6,282.1301479
34.6,281.4254098
34.7,282.1301479
34.7,282.3020352
34.8,281.6889704
34.8,283.1843902
34.9,281.6889704
34.9,281.774914
35.0,282.0384746
35.0,282.2160915
35.1,281.0759055
35.1,282.1301479
35.2,281.8665873
35.2,282.3020352
35.3,281.5113534
35.3,282.3020352
35.4,281.8665873
35.4,282.2160915
35.4,282.5655958
35.5,282.2160915
35.5,281.3394661
35.6,282.4796521
35.6,282.0384746
35.7,282.834886
35.7,281.5113534
35.8,280.634728
35.8,281.0759055
35.9,281.6889704
35.9,280.0216632
36.0,281.774914
36.0,282.1301479
36.0,281.6889704
36.1,280.2852238
36.1,281.6030267
36.2,281.774914
36.2,282.1301479
36.3,280.3711674
36.3,281.2477929
36.4,281.5113534
36.4,281.2477929
36.5,282.0384746
36.5,282.4796521
36.6,280.5487843
36.6,281.4254098
36.7,280.634728
36.7,281.3394661
36.8,281.8665873
36.8,282.0384746
36.8,282.1301479
36.9,281.4254098
36.9,280.1935505
37.0,280.0216632
37.0,280.8123449
37.1,281.6889704
37.1,280.8982886
37.2,280.7206717
37.2,281.2477929
37.3,281.774914
37.3,281.3394661
37.4,281.6889704
37.4,282.9208296
37.5,281.8665873
37.5,282.2160915
37.6,282.3020352
37.6,280.9842323
37.7,279.7581026
37.7,278.5262433
37.8,275.7989642
37.8,272.2867329
37.9,268.8547158
37.9,265.3424845
37.9,261.560963
38.0,257.8711148
38.0,254.0895934
38.1,249.7866803
38.1,244.509739
38.2,239.324471
38.2,233.0849606
38.3,225.9688248
38.3,217.7067734
38.4,207.5081246
38.4,195.3786081
38.5,184.3950072
38.5,172.4431076
38.6,160.3995347
38.6,149.8513817
38.6,138.077099
38.7,129.2879265
38.7,127.0877685
38.8,126.7382643
38.8,126.5606473
38.9,124.1026584
38.9,124.1026584
39.0,121.4670526
39.0,121.8165568
39.1,118.5621565
39.1,118.2985959
39.2,116.5453451
39.2,114.8723083
39.3,113.5545054
39.3,112.0590856
39.3,111.0048432
39.4,109.5094234
39.4,109.0739754
39.5,107.4009387
39.5,106.4383696
39.6,106.0831358
39.6,105.4700709
39.7,105.5560146
39.7,105.4700709
39.8,105.6419583
39.8,106.2607527
39.9,106.9654908
39.9,107.5785556
40.0,108.1056768
40.0,109.1599191
40.0,110.3917784
40.1,111.360077
40.1,111.8871982
40.2,116.2817845
40.2,120.8482581
40.3,125.6840219
40.3,130.9552336
40.4,137.7218652
40.4,144.4025531
40.5,153.6329032
40.5,164.8800647
40.6,176.3965164
40.6,188.6119766
40.7,200.1284282
40.7,210.9401418
40.8,219.992875
40.8,228.3408701
40.9,236.3393609
40.9,242.6648149
40.9,247.7641393
41.0,252.7717904
41.0,256.4673682
41.1,259.9795995
41.1,265.1648676
41.2,272.0231724
41.2,278.612187
41.3,285.4704918
41.3,288.6332188
41.4,289.16034
41.4,288.2837146
41.5,287.4930328
41.5,287.3154159
41.6,287.0518553
41.6,287.0518553
41.7,286.6106778
41.7,286.3471172
41.7,286.5247342
41.8,286.5247342
41.8,286.3471172
41.9,286.6966215
41.9,286.8742384
42.0,287.4930328
42.0,287.6649202
42.1,288.1920413
42.1,288.8967794
42.2,289.6874612
42.2,290.6557599
42.3,291.6183289
42.3,292.7642445
42.3,293.9044306
42.4,295.3998504
42.4,297.3364477
42.5,299.3532592
42.5,301.6393608
42.6,304.189023
42.6,306.7386852
42.7,308.5836093
42.7,310.6920939
42.8,313.4193731
42.8,315.0866802
42.9,315.877362
42.9,314.8231196
43.0,312.714635
43.0,311.396832
43.1,307.4434232
43.1,304.8937611
43.2,301.9029214
43.2,299.1813718
43.3,296.8952702
43.3,295.0503461
43.4,293.2913657
43.4,291.9735628
43.4,290.3921993
43.5,289.16034
43.5,288.3696583
43.6,287.4013596
43.6,286.4330609
43.7,284.6798101
43.7,283.6255677
43.8,281.8665873
43.8,281.774914
43.9,281.6889704
43.9,281.9525309
44.0,282.0384746
44.0,281.6889704
44.0,281.0759055
44.1,282.5655958
44.1,282.0384746
44.2,282.2160915
44.2,282.5655958
44.3,281.2477929
44.3,282.3020352
