header_update,time,theta
27:48.4,280.1935505,-32.19
27:48.5,279.4028688,-28.48
27:48.5,279.5804857,-32.9
27:48.6,278.9674208,-28.41
27:48.6,278.4402997,-28.48
27:48.6,277.8215052,-30.64
27:48.7,276.9448798,-29.65
27:48.7,275.3635163,-31.4
27:48.8,272.3726766,-28.69
27:48.8,267.7145297,-31.56
27:48.9,262.0021405,-29.43
27:48.9,256.0261907,-29.43
27:49.0,248.5548211,-30.95
27:49.0,239.2385273,-31.16
27:49.1,227.0230671,-29.35
27:49.1,217.8786607,-29.35
27:49.2,208.8259276,-29.65
27:49.2,199.6013071,-31.38
27:49.3,190.370957,-30.54
27:49.3,181.4041675,-28.04
27:49.4,172.4431076,-29.75
27:49.4,162.5080194,-29.14
27:49.4,154.1600243,-28.24
27:49.5,146.0755898,-29.68
27:49.5,137.194744,-32.03
27:49.6,129.729104,-29.86
27:49.6,122.5212949,-29.86
27:49.7,116.980793,-31.39
27:49.7,112.1507588,-31.81
27:49.8,109.8646572,-29.99
27:49.8,109.5094234,-29.76
27:49.9,111.360077,-31.49
27:49.9,116.1901113,-30.57
27:50.0,122.5212949,-30.54
27:50.0,129.8150476,-29.71
27:50.0,139.394902,-30.64
27:50.1,148.3616915,-28.59
27:50.1,158.2051064,-27.86
27:50.2,172.2654907,-28.06
27:50.3,184.1314466,-26.91
27:50.3,197.3152055,-27.99
27:50.4,207.244564,-27.79
27:50.4,214.9794943,-31.48
27:50.5,220.8695004,-30.91
27:50.5,225.8771515,-30.75
27:50.5,230.2717378,-30.89
27:50.6,236.0758003,-32.6
27:50.6,242.0517501,-31.8
27:50.7,248.9043253,-28.5
27:50.7,257.5216106,-28.5
27:50.8,266.3967268,-31.81
27:50.8,276.1541981,-33.39
27:50.9,285.2928749,-30.72
27:50.9,293.5549263,-7.54
27:51.0,298.5625774,21.78
27:51.0,304.0114061,30.08
27:51.1,309.8154685,30.72
27:51.1,315.2642972,31.09
27:51.1,321.1543033,32.03
27:51.2,326.9526362,29.87
27:51.2,331.1696055,31.53
27:51.3,335.0370707,31.53
27:51.3,337.6784061,29.5
27:51.4,340.2223387,31.16
27:51.4,342.6860572,29.95
27:51.5,343.8262432,31.4
27:51.5,343.2991221,30.3
27:51.6,341.1906374,30.6
27:51.6,337.8502934,32.6
27:51.7,333.0202592,31.89
27:51.7,327.9209348,30.72
27:51.8,321.1543033,32.35
27:51.8,316.0549789,33.47
27:51.8,309.374291,31.72
27:51.9,302.87122,29.83
27:51.9,295.0503461,29.83
27:52.0,286.7882947,31.72
27:52.0,278.8757476,31.96
27:52.1,274.3952176,16.63
27:52.1,271.6679385,-16.14
27:52.2,269.8230144,-29.8
27:52.2,266.923848,-30.82
27:52.3,264.0246815,-31.81
27:52.3,259.6300953,-31.81
27:52.4,255.4073963,-29.72
27:52.4,251.5456608,-30.68
27:52.5,248.732438,-32.03
27:52.5,247.7641393,-32.42
27:52.6,248.1136436,-32.43
27:52.6,249.2595592,-32.43
27:52.6,251.3680438,-31.42
27:52.7,253.917706,-31.02
27:52.7,256.9028161,-31.42
27:52.8,259.6300953,-31.96
27:52.8,261.9161969,-29.35
27:52.9,263.1423265,-29.72
27:52.9,264.5518027,-31.57
27:53.0,265.6919887,-31.42
27:53.0,266.923848,-31.67
27:53.1,267.8921467,-30.16
27:53.1,268.6828284,-32.03
27:53.2,269.3875665,-31.4
27:53.2,269.5594538,-31.4
27:53.3,269.2099496,-31.02
27:53.3,269.2958933,-31.6
27:53.4,269.1182763,-31.6
27:53.4,268.946389,-31.65
27:53.4,267.9780903,-30.68
27:53.5,267.6285861,-31.4
27:53.5,267.4509692,-31.42
27:53.6,267.1014649,-31.72
27:53.6,266.923848,-29.65
27:53.7,266.923848,-29.57
27:53.7,267.1874086,-34.01
27:53.8,267.1014649,-32.03
27:53.8,267.0097917,-29.65
27:53.9,266.7462311,-31.17
27:53.9,266.6602874,-31.17
27:54.0,266.4826705,-30.64
27:54.0,266.5743437,-32.43
27:54.0,266.7462311,-29.7
27:54.1,267.2733522,-31.17
27:54.2,267.8004734,-29.14
27:54.2,268.064034,-28.62
27:54.2,268.3275946,-31.4
27:54.3,268.1557072,-30.79
27:54.3,268.064034,-31.65
27:54.4,268.064034,-29.72
27:54.4,269.3875665,-29.5
27:54.5,271.4960512,-31.33
27:54.5,274.5728345,-29.65
27:54.6,277.472001,-31.64
27:54.6,280.1076068,-31.64
27:54.7,282.657269,-32.27
27:54.7,282.3937084,-13.32
27:54.8,280.634728,17.16
27:54.8,282.0384746,-10.98
27:54.9,280.8982886,2.85
27:54.9,280.9842323,7.58
27:54.9,282.5655958,-16.16
27:55.0,281.2477929,14.97
27:55.0,282.0384746,-17.47
27:55.1,281.2477929,20.88
27:55.1,279.1393082,-1.35
27:55.2,281.8665873,-23.16
27:55.2,282.834886,-23.16
27:55.3,280.7206717,14.62
27:55.3,281.5113534,0.86
27:55.4,282.1301479,-16.75
27:55.4,280.9842323,16.1
27:55.5,282.0384746,-19.08
27:55.5,281.0759055,12.31
27:55.6,280.8123449,-2.83
27:55.6,282.9208296,-10.44
